Larvae,Initial_weight,after_24_starve,treatment,final_weight,notes
40,0.004,0.004,Boton,0.0038,
41,0.0042,0.0042,Boton,0.0024,
42,0.0061,0.0042,Boton,0.0024,
43,0.0064,0.0053,Boton,0.0048,
44,0.0062,0.006,Boton,0.0064,
45,0.0042,0.0039,Boton,0.0033,
46,0.0037,0.0031,Boton,0.002,
47,0.0028,0.0028,Boton,0.0018,
48,0.0074,0.0076,Boton,0.0072,
49,0.0032,0.0028,Control,0.002,
50,0.0038,0.0032,Control,0.0029,
51,0.0056,0.0051,Control,0.0046,
52,0.0045,0.004,Control,0.0034,
53,0.0035,0.0033,Control,0.0026,
54,0.0039,0.0032,Control,0.0028,
55,0.0065,0.0056,Control,0.0042,
56,0.0044,0.0044,Control,0.004,
57,0.0068,0.006,Control,0.0059,
58,0.0042,0.0037,Control,0.0031,
59,0.0049,0.0045,Red Clover,0.004,
60,0.0051,0.0045,Red Clover,0.0035,
61,0.0064,0.006,Red Clover,0.0054,
62,0.0045,0.0045,Red Clover,0.0037,
63,0.004,0.0034,Red Clover,0.003,
64,0.0057,0.0056,Red Clover,0.0045,
65,0.0035,0.0031,Red Clover,0.0023,
66,0.075,0.0085,Red Clover,0.006,
67,0.0035,0.0031,Red Clover,0.0014,
68,0.0031,0.0025,Red Clover,0.0018,
69,0.0034,0.0028,Alfalfa,0.0016,
70,0.004,0.0035,Alfalfa,0.0036,
71,0.003,0.0023,Alfalfa,0.0017,
72,0.0033,0.0027,Alfalfa,0.0028,
73,0.003,0.0031,Alfalfa,0.0015,
74,0.0034,0.003,Alfalfa,0.003,
75,0.0031,NA,NA,,scaped
76,0.004,0.0037,Alfalfa,0.0022,
77,0.0027,0.0022,Alfalfa,0.0017,
78,0.0034,0.0032,Alfalfa,0.0012,
79,0.0036,0.003,Alfalfa,0.0026,
80,0.0023,0.0052,Bean,0.004,
81,0.0055,0.0046,Bean,0.0029,
82,0.0051,0.0025,Bean,0.002,
83,0.0039,0.0041,Bean,0.0051,
84,0.0065,0.0029,Bean,0.0025,
85,0.0037,NA,NA,,Died
86,0.0041,0.0041,Bean,0.0039,
87,0.0047,0.0053,Bean,0.0038,
88,0.0064,0.004,Bean,0.0027,
89,0.0046,0.0029,Bean,0.0032,
90,0.0049,0.004,Bean,0.0033,
