plant_id,height_cm,date,bench,experiment
D1,18,5/7/2022,1,Intercropping
A1,19,5/7/2022,1,Intercropping
R1,21,5/7/2022,1,Intercropping
B1,17,5/7/2022,1,Intercropping
M1,21,5/7/2022,1,Intercropping
A2,19,5/7/2022,1,Intercropping
D2,18,5/7/2022,1,Intercropping
M2,19.5,5/7/2022,1,Intercropping
B2,18,5/7/2022,1,Intercropping
R2,20.5,5/7/2022,1,Intercropping
M3,18.5,5/7/2022,1,Intercropping
D3,18,5/7/2022,1,Intercropping
R3,20,5/7/2022,1,Intercropping
A3,21.5,5/7/2022,1,Intercropping
B3,18.5,5/7/2022,1,Intercropping
R4,19,5/7/2022,1,Intercropping
M4,20.5,5/7/2022,1,Intercropping
D4,22,5/7/2022,1,Intercropping
A4,21,5/7/2022,1,Intercropping
B4,19.5,5/7/2022,1,Intercropping
R5,15,5/7/2022,1,Intercropping
M5,19,5/7/2022,1,Intercropping
A5,0,5/7/2022,1,Intercropping
D5,19.5,5/7/2022,1,Intercropping
B5,19,5/7/2022,1,Intercropping
A6,20.5,5/7/2022,1,Intercropping
R6,21,5/7/2022,1,Intercropping
M6,24,5/7/2022,1,Intercropping
D6,16.5,5/7/2022,1,Intercropping
B6,18.5,5/7/2022,1,Intercropping
R7,18,5/7/2022,1,Intercropping
B10,19.5,5/7/2022,1,Intercropping
A7,17,5/7/2022,1,Intercropping
B7,24,5/7/2022,1,Intercropping
M7,26,5/7/2022,1,Intercropping
D7,19,5/7/2022,1,Intercropping
D10,21.5,5/7/2022,1,Intercropping
D8,20.5,5/7/2022,1,Intercropping
D9,21,5/7/2022,1,Intercropping
M9,21.5,5/7/2022,1,Intercropping
R8,21,5/7/2022,1,Intercropping
B8,21.5,5/7/2022,1,Intercropping
M8,19.5,5/7/2022,1,Intercropping
R9,20,5/7/2022,1,Intercropping
B9,20,5/7/2022,1,Intercropping
R10,20,5/7/2022,1,Intercropping
M10,22.5,5/7/2022,1,Intercropping
A9,19.5,5/7/2022,1,Intercropping
A8,20.5,5/7/2022,1,Intercropping
A10,0,5/7/2022,1,Intercropping
B15,16,5/7/2022,2,Intercropping
B13,21,5/7/2022,2,Intercropping
B11,20,5/7/2022,2,Intercropping
B19,21,5/7/2022,2,Intercropping
A17,22,5/7/2022,2,Intercropping
A16,19,5/7/2022,2,Intercropping
M19,17.5,5/7/2022,2,Intercropping
B12,19.5,5/7/2022,2,Intercropping
M11,17.5,5/7/2022,2,Intercropping
R13,22.5,5/7/2022,2,Intercropping
M15,20,5/7/2022,2,Intercropping
M13,18.5,5/7/2022,2,Intercropping
M12,20,5/7/2022,2,Intercropping
R14,20,5/7/2022,2,Intercropping
D11,18.5,5/7/2022,2,Intercropping
D13,14,5/7/2022,2,Intercropping
D16,20.5,5/7/2022,2,Intercropping
D14,20.5,5/7/2022,2,Intercropping
A15,18.5,5/7/2022,2,Intercropping
D19,18.5,5/7/2022,2,Intercropping
A14,19.5,5/7/2022,2,Intercropping
A13,20.5,5/7/2022,2,Intercropping
A11,20,5/7/2022,2,Intercropping
D17,19.5,5/7/2022,2,Intercropping
D20,11,5/7/2022,2,Intercropping
A8,20,5/7/2022,2,Intercropping
A12,21,5/7/2022,2,Intercropping
B15,19.5,5/7/2022,2,Intercropping
R15,18,5/7/2022,2,Intercropping
A19,18,5/7/2022,2,Intercropping
A20,18.5,5/7/2022,2,Intercropping
D18,18,5/7/2022,2,Intercropping
R16,18.5,5/7/2022,2,Intercropping
R11,0,5/7/2022,2,Intercropping
R19,13.5,5/7/2022,2,Intercropping
B20,20.5,5/7/2022,2,Intercropping
M16,17,5/7/2022,2,Intercropping
R12,22,5/7/2022,2,Intercropping
M20,20.5,5/7/2022,2,Intercropping
D12,16,5/7/2022,2,Intercropping
M19,21.5,5/7/2022,2,Intercropping
R20,24,5/7/2022,2,Intercropping
B17,21.5,5/7/2022,2,Intercropping
B19,16.5,5/7/2022,2,Intercropping
R18,20,5/7/2022,2,Intercropping
M17,17,5/7/2022,2,Intercropping
B16,20.5,5/7/2022,2,Intercropping
R17,20.5,5/7/2022,2,Intercropping
B18,17.5,5/7/2022,2,Intercropping
M18,17,5/7/2022,2,Intercropping
B7,22.5,5/7/2022,1,PSF
A7,20.5,5/7/2022,1,PSF
B5,21,5/7/2022,1,PSF
M3,19.5,5/7/2022,1,PSF
M5,21,5/7/2022,1,PSF
R5,23,5/7/2022,1,PSF
B9,17.5,5/7/2022,1,PSF
R8,22.5,5/7/2022,1,PSF
R1,21,5/7/2022,1,PSF
M1,19,5/7/2022,1,PSF
B2,17,5/7/2022,1,PSF
D1,18,5/7/2022,1,PSF
A1,19,5/7/2022,1,PSF
B4,19.5,5/7/2022,1,PSF
A4,20,5/7/2022,1,PSF
B3,21.5,5/7/2022,1,PSF
R2,20,5/7/2022,1,PSF
M2,20.5,5/7/2022,1,PSF
A3,21,5/7/2022,1,PSF
M7,19,5/7/2022,1,PSF
A9,22.5,5/7/2022,1,PSF
A8,22.5,5/7/2022,1,PSF
A5,21,5/7/2022,2,PSF
R3,21.5,5/7/2022,2,PSF
R10,21.5,5/7/2022,2,PSF
M6,21.5,5/7/2022,2,PSF
M4,18,5/7/2022,2,PSF
R4,22,5/7/2022,2,PSF
B16,19.5,5/7/2022,2,PSF
R7,20,5/7/2022,2,PSF
B6,20.5,5/7/2022,2,PSF
R6,21.5,5/7/2022,2,PSF
B10,21.5,5/7/2022,2,PSF
A6,21.5,5/7/2022,2,PSF
R5,20.5,5/7/2022,2,PSF
B8,21,5/7/2022,2,PSF
M10,23.5,5/7/2022,2,PSF
A2,6,5/7/2022,2,PSF
A9,0,5/7/2022,2,PSF
M18,1.3,5/3/2022,,Intercropping
B18,1.7,5/3/2022,,Intercropping
R16,1.6,5/3/2022,,Intercropping
R17,2,5/3/2022,,Intercropping
B16,2.5,5/3/2022,,Intercropping
M20,2.9,5/3/2022,,Intercropping
D15,1.6,5/3/2022,,Intercropping
R15,1.5,5/3/2022,,Intercropping
A16,2.4,5/3/2022,,Intercropping
