ID,Location,Notes,Reviewer
ADA20,-,No control,JP
ADE14,Mexico,,JP
ADE14,Mexico,,JP
ADE14,Mexico,,JP
ADE14,Mexico,,JP
ADE14,Mexico,,JP
ADE14,Mexico,,JP
,-,Not appropriate control,JP
,-,Off topic,JP
,-,No control,JP
,-,Not a manipulative experiment,JP
AlM21,Brazil,,JP
AlM21,Brazil,,JP
AlM21,Brazil,,JP
AlM21,Brazil,,JP
AlM21,Brazil,,JP
,-,Review; good for refrences,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
ALO20,Cuba,,JP
,-,No control,JP
AlO20,Chile,,JP
AlO15,Cuba,No control,JP
ALO11,Cuba,,JP
ALO19,Cuba,,JP
ALV19,Mexico,,JP
,-,"Commentary, no data",JP
AlV21,Colombia,,JP
AME19,Mexico,,JP
AME16,Mexico,,JP
,-,No control,JP
AND01,Brazil,,JP
,-,No control,JP
AND99,Brazil,,JP
AND02,Brazil,,JP
AND08,Costa Rica,,JP
AND08_1,Costa Rica,,JP
,-,No control,JP
AND19,Colombia,,JP
ANG15,Colombia,,JP
ANR16,Argentina,,JP
ANR18,Argentina,,JP
ANT18,Brazil,,JP
ANT12,Brazil,,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
ARA17,Brazil,,JP
ARE13,Mexico,,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
,-,Off topic,JP
ARY19,Mexico,,JP
,-,Off topic,JP
,-,Off topic,JP
ATE19,Colombia,,JP
AUA15,Brazil,,JP
,-,No control,JP
,-,No control,JP
,-,No control,JP
AVI19,Mexico,,JP
,Argentina,,JP
AYN20,Colombia,,JP
AZA13,Brazil,,JP
,-,No control,JP
BAC11,Mexico,,JP
BAC11,Mexico,,JP
BAC11,Mexico,,JP
BAC11,Mexico,,JP
BAH16,Argentina,,JP
BAH16,Argentina,,JP
BAH16,Argentina,,JP
