number,initial_weight,treatment,experiment,final_weight,status,Total_Leaf_Area,Consumed_Leaf_Area ,Percent_Consumed
1,0.0074,Alfalfa,intercropping,0.0076,alive,1.53,0.072,4.689
2,0.0044,Alfalfa,intercropping,0.0043,alive,1.674,0.07,4.169
3,0.0069,Alfalfa,intercropping,0.0056,alive,1.789,0.003,0.162
4,0.0044,Alfalfa,intercropping,0.0043,alive,1.715,0.302,17.604
5,0.0041,Alfalfa,intercropping,0.0039,dead,1.718,0.031,1.78
6,0.0049,Alfalfa,intercropping,0.0068,alive,1.756,0.408,23.21
7,0.0041,Alfalfa,intercropping,0.0034,alive,1.726,0.018,1.025
8,0.0065,Alfalfa,intercropping,0.0068,alive,1.741,0.21,12.051
9,0.006,Alfalfa,intercropping,0.0114,alive,1.698,0.789,46.479
10,0.0035,Alfalfa,intercropping,0.0032,alive,1.695,0.137,8.109
11,0.0038,Alfalfa,intercropping,0.0025,alive,1.716,0.005,0.287
12,0.0056,Alfalfa,intercropping,0.0053,alive,1.756,0.027,1.565
13,0.0048,Alfalfa,intercropping,0.0051,alive,1.744,0.029,1.668
14,0.006,Alfalfa,intercropping,0.00137,alive,1.72,1.121,65.193
15,0.0033,Alfalfa,intercropping,0.0034,alive,1.632,0.031,1.912
16,0.0047,Alfalfa,intercropping,0.0058,alive,1.711,0.202,11.779
17,0.0039,Alfalfa,intercropping,0.0029,alive,1.817,0.02,1.101
18,0.0057,Alfalfa,intercropping,0.0051,alive,1.773,0.045,2.55
19,0.0047,Alfalfa,intercropping,0.0047,alive,1.742,0.236,13.574
20,0.006,Alfalfa,intercropping,0.0083,alive,1.717,0.289,16.823
21,0.0052,Desmodiun,intercropping,0.0048,alive,1.702,0.013,0.771
22,0.0046,Desmodiun,intercropping,0.0049,alive,1.664,0.011,0.637
23,0.0067,Desmodiun,intercropping,0.0058,alive,1.673,0.007,0.419
24,0.0026,Desmodiun,intercropping,0.0028,alive,1.703,0.029,1.674
25,0.0055,Desmodiun,intercropping,0.0072,alive,1.686,0.068,4.014
26,0.0025,Desmodiun,intercropping,0.0022,alive,1.694,0.008,0.452
27,0.0057,Desmodiun,intercropping,0.0051,dead,1.719,0.176,10.22
28,0.0046,Desmodiun,intercropping,0.0037,alive,1.711,0.086,5.02
29,0.0078,Desmodiun,intercropping,0.0073,alive,1.72,0.119,6.933
30,0.007,Desmodiun,intercropping,0.009,alive,1.665,0.377,22.653
31,0.0056,Desmodiun,intercropping,0.0118,alive,1.671,1.671,100
32,0.0042,Desmodiun,intercropping,0.0031,alive,1.652,0.063,3.822
33,0.0078,Desmodiun,intercropping,0.0068,alive,1.79,0.297,16.582
34,0.0035,Desmodiun,intercropping,0.0036,alive,1.672,0.076,4.544
35,0.0054,Desmodiun,intercropping,0.0111,alive,1.791,1.791,100
36,0.002,Desmodiun,intercropping,0.0019,dead,1.744,0.062,3.532
37,0.0076,Desmodiun,intercropping,0.0073,alive,1.678,0.08,4.79
38,0.0046,Desmodiun,intercropping,0.0032,dead,1.681,0.014,0.811
39,0.0085,Desmodiun,intercropping,0.0065,dead,1.667,0.03,1.805
40,0.0032,Desmodiun,intercropping,0.0025,dead,1.708,0.156,9.134
41,0.004,Red Clover,intercropping,0.0034,dead,1.723,0.025,1.475
42,0.0037,Red Clover,intercropping,0.0035,dead,1.743,0.036,2.046
