Date ,Time,Latitude ,Longitude ,Treatment,Sample Number,Total Leaf Area (cm2),Consumed Leaf Area (cm2),Percent_Consumed,Notes,Scale Length (cm)
2022.03.21,13:35:48,,,Boton,40,1.433,0.03,2.079,,5
2022.03.21,13:37:51,,,Boton,41,1.612,0.012,0.775,,5
2022.03.21,13:39:40,,,Boton,42,1.744,0.019,1.102,,5
2022.03.21,14:27:07,,,Boton,43,1.821,0.012,0.676,,5
2022.03.21,14:28:20,,,Boton,44,1.773,0.071,3.98,,5
2022.03.21,14:32:16,,,Boton,45,1.833,0.046,2.52,,5
2022.03.21,14:33:23,,,Boton,46,1.768,0.012,0.66,,5
2022.03.21,14:34:45,,,Boton,47,1.856,0.021,1.145,,5
2022.03.21,14:36:17,,,Boton,48,1.791,0.072,3.999,,5
2022.03.21,14:37:13,,,Control,49,1.806,0.009,0.525,,5
2022.03.21,14:39:00,,,Control,50,1.781,0.045,2.508,,5
2022.03.21,14:39:59,,,Control,51,1.855,0.026,1.395,,5
2022.03.21,14:41:01,,,Control,52,1.869,0.007,0.37,,5
2022.03.21,14:42:10,,,Control,53,1.79,0.039,2.186,,5
2022.03.21,14:43:45,,,Control,54,1.882,0.035,1.881,,5
2022.03.21,14:45:26,,,Control,55,1.784,0.076,4.248,,5
2022.03.21,14:47:05,,,Control,56,1.843,0.009,0.515,,5
2022.03.21,14:47:53,,,Control,57,1.804,0.032,1.747,,5
2022.03.21,14:49:29,,,Control,58,1.814,0.02,1.102,,5
2022.03.21,14:50:37,,,Red Clover,59,1.835,0.037,2.035,,5
2022.03.21,14:52:14,,,Red Clover,60,1.787,0.02,1.139,,5
2022.03.21,15:46:27,,,Red Clover,61,1.807,0.032,1.77,,5
2022.03.21,15:47:23,,,Red Clover,62,1.794,0.038,2.111,,5
2022.03.21,15:49:10,,,Red Clover,63,1.8,0.003,0.175,,5
2022.03.21,15:50:53,,,Red Clover,64,1.778,0.026,1.48,,5
2022.03.21,15:56:03,,,Red Clover,65,1.796,0.019,1.082,,5
2022.03.21,15:57:31,,,Red Clover,66,1.771,0.018,1.019,,5
2022.03.21,15:59:31,,,Red Clover,67,1.801,0.011,0.586,,5
2022.03.21,16:02:00,,,Red Clover,68,1.792,0.016,0.913,,5
2022.03.21,16:03:17,,,Alfalfa,69,1.836,0.009,0.481,,5
2022.03.21,16:03:44,,,Alfalfa,70,1.793,0.003,0.19,,5
2022.03.21,16:04:07,,,Alfalfa,71,1.794,0.006,0.309,,5
2022.03.21,16:06:57,,,Alfalfa,72,1.816,0.032,1.776,,5
2022.03.21,16:09:06,,,Alfalfa,73,1.79,0.01,0.554,,5
2022.03.21,16:09:47,,,Alfalfa,74,1.817,0.02,1.1,,5
2022.03.21,16:10:17,,,Alfalfa,75,1.821,0.009,0.513,,5
2022.03.21,16:10:52,,,Alfalfa,76,1.794,0.007,0.412,,5
2022.03.21,16:11:51,,,Alfalfa,77,1.817,0.039,2.172,,5
2022.03.21,16:12:40,,,Alfalfa,78,1.828,0.011,0.583,,5
2022.03.21,16:13:37,,,Bean,79,1.783,0.013,0.748,,5
2022.03.21,16:34:20,,,Bean,80,1.808,0.017,0.915,,5
2022.03.21,16:15:26,,,Bean,81,1.745,0.004,0.234,,5
2022.03.21,16:16:26,,,Bean,82,1.817,0.066,3.648,,5
2022.03.21,16:16:54,,,Bean,83,1.8,0.009,0.511,,5
2022.03.21,16:23:50,,,Bean,84,1.786,0.021,1.192,,5
2022.03.21,16:24:06,,,Bean,85,1.802,0.028,1.571,,5
2022.03.21,16:24:46,,,Bean,86,1.801,0.049,2.706,,5
2022.03.21,16:25:55,,,Bean,87,1.814,0.026,1.415,,5
2022.03.21,16:26:41,,,Bean,88,1.791,0.051,2.854,,5
